seqid,source,type,start,end,score,strand,phase,attributes
1A,IWGSC,gene,8239469.0,8244826.0,.,-,.,ID=gene:TraesCS1A02G015200;biotype=protein_coding;description=Tubulin-folding cofactor E [Source:Projected from Arabidopsis thaliana (AT1G71440) UniProtKB/Swiss-Prot%3BAcc:Q8GRL7];gene_id=TraesCS1A02G015200;logic_name=iwgsc_high_conf
1A,IWGSC,gene,8247217.0,8251270.0,.,+,.,ID=gene:TraesCS1A02G015300;biotype=protein_coding;gene_id=TraesCS1A02G015300;logic_name=iwgsc_high_conf
1A,IWGSC,gene,8264166.0,8266341.0,.,-,.,ID=gene:TraesCS1A02G015400;biotype=protein_coding;gene_id=TraesCS1A02G015400;logic_name=iwgsc_high_conf
1A,IWGSC,gene,8325715.0,8329799.0,.,+,.,ID=gene:TraesCS1A02G015900;biotype=protein_coding;description=Serine/threonine-protein kinase [Source:UniProtKB/TrEMBL%3BAcc:W4ZVW8];gene_id=TraesCS1A02G015900;logic_name=iwgsc_high_conf
1A,IWGSC,gene,8628133.0,8633964.0,.,-,.,ID=gene:TraesCS1A02G016200;biotype=protein_coding;gene_id=TraesCS1A02G016200;logic_name=iwgsc_high_conf
1A,IWGSC,gene,9104841.0,9110639.0,.,-,.,ID=gene:TraesCS1A02G016900;biotype=protein_coding;description=Phosphatidate cytidylyltransferase [Source:UniProtKB/TrEMBL%3BAcc:A0A1D5S3X7];gene_id=TraesCS1A02G016900;logic_name=iwgsc_high_conf
1A,IWGSC,gene,9119143.0,9123202.0,.,+,.,ID=gene:TraesCS1A02G017000;biotype=protein_coding;gene_id=TraesCS1A02G017000;logic_name=iwgsc_high_conf
1A,IWGSC,gene,9543460.0,9548078.0,.,+,.,ID=gene:TraesCS1A02G018400;biotype=protein_coding;gene_id=TraesCS1A02G018400;logic_name=iwgsc_high_conf
1A,IWGSC,gene,9579534.0,9583651.0,.,-,.,ID=gene:TraesCS1A02G018900;biotype=protein_coding;gene_id=TraesCS1A02G018900;logic_name=iwgsc_high_conf
1A,IWGSC,gene,9586486.0,9589430.0,.,-,.,ID=gene:TraesCS1A02G019000;biotype=protein_coding;description=V-type proton ATPase proteolipid subunit [Source:UniProtKB/TrEMBL%3BAcc:A0A1D5T1X1];gene_id=TraesCS1A02G019000;logic_name=iwgsc_high_conf
1A,IWGSC,gene,9642195.0,9644901.0,.,-,.,ID=gene:TraesCS1A02G019200;biotype=protein_coding;gene_id=TraesCS1A02G019200;logic_name=iwgsc_high_conf
1A,IWGSC,gene,9979714.0,9980736.0,.,+,.,ID=gene:TraesCS1A02G020000;biotype=protein_coding;gene_id=TraesCS1A02G020000;logic_name=iwgsc_high_conf
1A,IWGSC,gene,10047783.0,10050350.0,.,-,.,ID=gene:TraesCS1A02G020300;biotype=protein_coding;gene_id=TraesCS1A02G020300;logic_name=iwgsc_high_conf
1A,IWGSC,gene,10051720.0,10058221.0,.,-,.,ID=gene:TraesCS1A02G020400;biotype=protein_coding;description=Putative chromosome condensation factor [Source:UniProtKB/TrEMBL%3BAcc:Q5EWZ0];gene_id=TraesCS1A02G020400;logic_name=iwgsc_high_conf
1A,IWGSC,gene,10066113.0,10069211.0,.,+,.,ID=gene:TraesCS1A02G020500;biotype=protein_coding;gene_id=TraesCS1A02G020500;logic_name=iwgsc_high_conf
1A,IWGSC,gene,10069498.0,10072370.0,.,-,.,ID=gene:TraesCS1A02G020600;biotype=protein_coding;gene_id=TraesCS1A02G020600;logic_name=iwgsc_high_conf
1A,IWGSC,gene,10132632.0,10133075.0,.,+,.,ID=gene:TraesCS1A02G020900;biotype=protein_coding;gene_id=TraesCS1A02G020900;logic_name=iwgsc_high_conf
1A,IWGSC,gene,10602386.0,10607440.0,.,-,.,ID=gene:TraesCS1A02G022000;biotype=protein_coding;gene_id=TraesCS1A02G022000;logic_name=iwgsc_high_conf
1A,IWGSC,gene,11564200.0,11572148.0,.,+,.,ID=gene:TraesCS1A02G023400;biotype=protein_coding;gene_id=TraesCS1A02G023400;logic_name=iwgsc_high_conf
1A,IWGSC,gene,11643654.0,11644753.0,.,-,.,ID=gene:TraesCS1A02G023700;biotype=protein_coding;gene_id=TraesCS1A02G023700;logic_name=iwgsc_high_conf
1A,IWGSC,gene,11661682.0,11665443.0,.,+,.,ID=gene:TraesCS1A02G023800;biotype=protein_coding;gene_id=TraesCS1A02G023800;logic_name=iwgsc_high_conf
1A,IWGSC,gene,11894091.0,11895818.0,.,+,.,ID=gene:TraesCS1A02G024300;biotype=protein_coding;gene_id=TraesCS1A02G024300;logic_name=iwgsc_high_conf
1A,IWGSC,gene,12002939.0,12006839.0,.,-,.,ID=gene:TraesCS1A02G024400;biotype=protein_coding;gene_id=TraesCS1A02G024400;logic_name=iwgsc_high_conf
1A,IWGSC,gene,12089718.0,12093423.0,.,+,.,ID=gene:TraesCS1A02G024500;biotype=protein_coding;description=Transcription initiation factor IIA subunit 2 [Source:UniProtKB/TrEMBL%3BAcc:A0A341NGF2];gene_id=TraesCS1A02G024500;logic_name=iwgsc_high_conf
1A,IWGSC,gene,12098618.0,12103881.0,.,-,.,ID=gene:TraesCS1A02G024700;biotype=protein_coding;gene_id=TraesCS1A02G024700;logic_name=iwgsc_high_conf
1A,IWGSC,gene,12141981.0,12144556.0,.,-,.,ID=gene:TraesCS1A02G025100;biotype=protein_coding;gene_id=TraesCS1A02G025100;logic_name=iwgsc_high_conf
1A,IWGSC,gene,12157064.0,12161869.0,.,-,.,ID=gene:TraesCS1A02G025200;biotype=protein_coding;gene_id=TraesCS1A02G025200;logic_name=iwgsc_high_conf
1A,IWGSC,gene,12312969.0,12318272.0,.,-,.,ID=gene:TraesCS1A02G025700;biotype=protein_coding;gene_id=TraesCS1A02G025700;logic_name=iwgsc_high_conf
1A,IWGSC,gene,12363666.0,12369892.0,.,+,.,ID=gene:TraesCS1A02G025900;biotype=protein_coding;description=Probable serine/threonine-protein kinase WNK3 [Source:Projected from Arabidopsis thaliana (AT3G48260) UniProtKB/Swiss-Prot%3BAcc:Q9STK6];gene_id=TraesCS1A02G025900;logic_name=iwgsc_high_conf
1A,IWGSC,gene,12502526.0,12507052.0,.,+,.,ID=gene:TraesCS1A02G026200;biotype=protein_coding;gene_id=TraesCS1A02G026200;logic_name=iwgsc_high_conf
1A,IWGSC,gene,12698221.0,12698445.0,.,-,.,ID=gene:TraesCS1A02G026800;biotype=protein_coding;gene_id=TraesCS1A02G026800;logic_name=iwgsc_high_conf
1A,IWGSC,gene,12915087.0,12917028.0,.,+,.,ID=gene:TraesCS1A02G027200;biotype=protein_coding;gene_id=TraesCS1A02G027200;logic_name=iwgsc_high_conf
1A,IWGSC,gene,12918575.0,12920144.0,.,+,.,ID=gene:TraesCS1A02G027300;biotype=protein_coding;gene_id=TraesCS1A02G027300;logic_name=iwgsc_high_conf
1A,IWGSC,gene,13452339.0,13458303.0,.,+,.,ID=gene:TraesCS1A02G028700;biotype=protein_coding;gene_id=TraesCS1A02G028700;logic_name=iwgsc_high_conf
1A,IWGSC,gene,13569534.0,13575431.0,.,+,.,ID=gene:TraesCS1A02G028900;biotype=protein_coding;gene_id=TraesCS1A02G028900;logic_name=iwgsc_high_conf
1A,IWGSC,gene,13669902.0,13676212.0,.,-,.,ID=gene:TraesCS1A02G029200;biotype=protein_coding;gene_id=TraesCS1A02G029200;logic_name=iwgsc_high_conf
1A,IWGSC,gene,13762566.0,13768572.0,.,+,.,ID=gene:TraesCS1A02G029300;biotype=protein_coding;gene_id=TraesCS1A02G029300;logic_name=iwgsc_high_conf
1A,IWGSC,gene,13861191.0,13862962.0,.,-,.,ID=gene:TraesCS1A02G029800;biotype=protein_coding;gene_id=TraesCS1A02G029800;logic_name=iwgsc_high_conf
1A,IWGSC,gene,13979250.0,13980335.0,.,+,.,ID=gene:TraesCS1A02G030000;biotype=protein_coding;gene_id=TraesCS1A02G030000;logic_name=iwgsc_high_conf
1A,IWGSC,gene,14045678.0,14056197.0,.,+,.,ID=gene:TraesCS1A02G030100;biotype=protein_coding;gene_id=TraesCS1A02G030100;logic_name=iwgsc_high_conf
1A,IWGSC,gene,14139691.0,14143599.0,.,+,.,ID=gene:TraesCS1A02G030500;biotype=protein_coding;gene_id=TraesCS1A02G030500;logic_name=iwgsc_high_conf
1A,IWGSC,gene,14143597.0,14145914.0,.,-,.,ID=gene:TraesCS1A02G030600;biotype=protein_coding;gene_id=TraesCS1A02G030600;logic_name=iwgsc_high_conf
1A,IWGSC,gene,14160322.0,14163255.0,.,+,.,ID=gene:TraesCS1A02G030700;biotype=protein_coding;gene_id=TraesCS1A02G030700;logic_name=iwgsc_high_conf
1A,IWGSC,gene,14253391.0,14257167.0,.,-,.,ID=gene:TraesCS1A02G030900;biotype=protein_coding;gene_id=TraesCS1A02G030900;logic_name=iwgsc_high_conf
1A,IWGSC,gene,14467959.0,14469389.0,.,+,.,ID=gene:TraesCS1A02G031100;biotype=protein_coding;gene_id=TraesCS1A02G031100;logic_name=iwgsc_high_conf
1A,IWGSC,gene,14504224.0,14507920.0,.,+,.,ID=gene:TraesCS1A02G031200;biotype=protein_coding;gene_id=TraesCS1A02G031200;logic_name=iwgsc_high_conf
1A,IWGSC,gene,14519757.0,14525659.0,.,+,.,ID=gene:TraesCS1A02G031300;biotype=protein_coding;description=Protein NRT1/ PTR FAMILY 6.2 [Source:Projected from Arabidopsis thaliana (AT2G26690) UniProtKB/Swiss-Prot%3BAcc:Q9SZY4];gene_id=TraesCS1A02G031300;logic_name=iwgsc_high_conf
1A,IWGSC,gene,15190979.0,15195959.0,.,+,.,ID=gene:TraesCS1A02G032700;biotype=protein_coding;description=Replication protein A subunit [Source:UniProtKB/TrEMBL%3BAcc:W4ZW75];gene_id=TraesCS1A02G032700;logic_name=iwgsc_high_conf
1A,IWGSC,gene,15343594.0,15348515.0,.,-,.,ID=gene:TraesCS1A02G032900;biotype=protein_coding;description=Protein DETOXIFICATION [Source:UniProtKB/TrEMBL%3BAcc:W4ZWM1];gene_id=TraesCS1A02G032900;logic_name=iwgsc_high_conf
1A,IWGSC,gene,15430220.0,15437374.0,.,+,.,ID=gene:TraesCS1A02G033000;biotype=protein_coding;gene_id=TraesCS1A02G033000;logic_name=iwgsc_high_conf
1A,IWGSC,gene,15438125.0,15441465.0,.,-,.,ID=gene:TraesCS1A02G033100;biotype=protein_coding;gene_id=TraesCS1A02G033100;logic_name=iwgsc_high_conf
1A,IWGSC,gene,16038484.0,16040057.0,.,+,.,ID=gene:TraesCS1A02G033300;biotype=protein_coding;gene_id=TraesCS1A02G033300;logic_name=iwgsc_high_conf
1A,IWGSC,gene,16388445.0,16391082.0,.,+,.,ID=gene:TraesCS1A02G033500;biotype=protein_coding;gene_id=TraesCS1A02G033500;logic_name=iwgsc_high_conf
1A,IWGSC,gene,16407008.0,16410201.0,.,+,.,ID=gene:TraesCS1A02G033600;biotype=protein_coding;gene_id=TraesCS1A02G033600;logic_name=iwgsc_high_conf
1A,IWGSC,gene,16913591.0,16919361.0,.,+,.,ID=gene:TraesCS1A02G034100;biotype=protein_coding;gene_id=TraesCS1A02G034100;logic_name=iwgsc_high_conf
1A,IWGSC,gene,16931434.0,16934477.0,.,-,.,ID=gene:TraesCS1A02G034300;biotype=protein_coding;description=E3 ubiquitin ligase%2C XA21-mediated disease resistanc [Source: Projected from Oryza sativa (Os05g0112000)];gene_id=TraesCS1A02G034300;logic_name=iwgsc_high_conf
1A,IWGSC,gene,18289937.0,18293936.0,.,-,.,ID=gene:TraesCS1A02G035000;biotype=protein_coding;description=Nuclear pore complex protein NUP43 [Source:Projected from Arabidopsis thaliana (AT4G30840) UniProtKB/Swiss-Prot%3BAcc:Q24JJ9];gene_id=TraesCS1A02G035000;logic_name=iwgsc_high_conf
1A,IWGSC,gene,18460513.0,18462491.0,.,-,.,ID=gene:TraesCS1A02G035200;biotype=protein_coding;gene_id=TraesCS1A02G035200;logic_name=iwgsc_high_conf
1A,IWGSC,gene,18493615.0,18494853.0,.,-,.,ID=gene:TraesCS1A02G035400;biotype=protein_coding;gene_id=TraesCS1A02G035400;logic_name=iwgsc_high_conf
1A,IWGSC,gene,18989913.0,18994414.0,.,-,.,ID=gene:TraesCS1A02G035500;biotype=protein_coding;gene_id=TraesCS1A02G035500;logic_name=iwgsc_high_conf
1A,IWGSC,gene,19062157.0,19063423.0,.,-,.,ID=gene:TraesCS1A02G035600;biotype=protein_coding;gene_id=TraesCS1A02G035600;logic_name=iwgsc_high_conf
1A,IWGSC,gene,19895297.0,19897721.0,.,-,.,ID=gene:TraesCS1A02G035800;biotype=protein_coding;gene_id=TraesCS1A02G035800;logic_name=iwgsc_high_conf
1A,IWGSC,gene,19929936.0,19933705.0,.,-,.,ID=gene:TraesCS1A02G035900;biotype=protein_coding;gene_id=TraesCS1A02G035900;logic_name=iwgsc_high_conf
1A,IWGSC,gene,20091099.0,20094848.0,.,+,.,ID=gene:TraesCS1A02G036100;biotype=protein_coding;gene_id=TraesCS1A02G036100;logic_name=iwgsc_high_conf
1A,IWGSC,gene,20156565.0,20158534.0,.,+,.,ID=gene:TraesCS1A02G036200;biotype=protein_coding;description=Chalcone-flavonone isomerase family protein [Source:UniProtKB/TrEMBL%3BAcc:W4ZWP7];gene_id=TraesCS1A02G036200;logic_name=iwgsc_high_conf
1A,IWGSC,gene,20179711.0,20183942.0,.,+,.,ID=gene:TraesCS1A02G036300;biotype=protein_coding;gene_id=TraesCS1A02G036300;logic_name=iwgsc_high_conf
1A,IWGSC,gene,20893785.0,20898393.0,.,-,.,ID=gene:TraesCS1A02G037400;biotype=protein_coding;gene_id=TraesCS1A02G037400;logic_name=iwgsc_high_conf
1A,IWGSC,gene,20977276.0,20980680.0,.,-,.,ID=gene:TraesCS1A02G037900;biotype=protein_coding;gene_id=TraesCS1A02G037900;logic_name=iwgsc_high_conf
1A,IWGSC,gene,20998069.0,20998918.0,.,+,.,ID=gene:TraesCS1A02G038100;biotype=protein_coding;description=Histone H2A [Source:UniProtKB/TrEMBL%3BAcc:W4ZWK0];gene_id=TraesCS1A02G038100;logic_name=iwgsc_high_conf
1A,IWGSC,gene,21022731.0,21023627.0,.,+,.,ID=gene:TraesCS1A02G038200;biotype=protein_coding;description=Histone H2A [Source:UniProtKB/TrEMBL%3BAcc:W4ZYU1];gene_id=TraesCS1A02G038200;logic_name=iwgsc_high_conf
1A,IWGSC,gene,21034869.0,21049127.0,.,+,.,ID=gene:TraesCS1A02G038400;biotype=protein_coding;description=Poly [ADP-ribose] polymerase [Source:UniProtKB/TrEMBL%3BAcc:A0A341NGZ9];gene_id=TraesCS1A02G038400;logic_name=iwgsc_high_conf
1A,IWGSC,gene,21322246.0,21335307.0,.,+,.,ID=gene:TraesCS1A02G039200;biotype=protein_coding;gene_id=TraesCS1A02G039200;logic_name=iwgsc_high_conf
1A,IWGSC,gene,21618184.0,21626991.0,.,+,.,ID=gene:TraesCS1A02G039400;biotype=protein_coding;gene_id=TraesCS1A02G039400;logic_name=iwgsc_high_conf
1A,IWGSC,gene,22038188.0,22047331.0,.,-,.,ID=gene:TraesCS1A02G039900;biotype=protein_coding;gene_id=TraesCS1A02G039900;logic_name=iwgsc_high_conf
1A,IWGSC,gene,22287727.0,22291553.0,.,-,.,ID=gene:TraesCS1A02G040400;biotype=protein_coding;description=PHIP1 [Source:Projected from Arabidopsis thaliana (AT3G55340) UniProtKB/TrEMBL%3BAcc:A0A384KSV0];gene_id=TraesCS1A02G040400;logic_name=iwgsc_high_conf
1A,IWGSC,gene,22291726.0,22293776.0,.,+,.,ID=gene:TraesCS1A02G040500;biotype=protein_coding;gene_id=TraesCS1A02G040500;logic_name=iwgsc_high_conf
1A,IWGSC,gene,22294835.0,22301515.0,.,-,.,ID=gene:TraesCS1A02G040600;biotype=protein_coding;description=Glucose-6-phosphate isomerase [Source:UniProtKB/TrEMBL%3BAcc:A0A1D5S2P8];gene_id=TraesCS1A02G040600;logic_name=iwgsc_high_conf
1A,IWGSC,gene,22329072.0,22332422.0,.,-,.,ID=gene:TraesCS1A02G040700;biotype=protein_coding;gene_id=TraesCS1A02G040700;logic_name=iwgsc_high_conf
1A,IWGSC,gene,22633431.0,22634135.0,.,-,.,ID=gene:TraesCS1A02G041300;biotype=protein_coding;gene_id=TraesCS1A02G041300;logic_name=iwgsc_high_conf
1A,IWGSC,gene,22656561.0,22657221.0,.,-,.,ID=gene:TraesCS1A02G041400;biotype=protein_coding;gene_id=TraesCS1A02G041400;logic_name=iwgsc_high_conf
1A,IWGSC,gene,22657694.0,22657945.0,.,+,.,ID=gene:TraesCS1A02G041500;biotype=protein_coding;gene_id=TraesCS1A02G041500;logic_name=iwgsc_high_conf
1A,IWGSC,gene,22755453.0,22757185.0,.,+,.,ID=gene:TraesCS1A02G041700;biotype=protein_coding;gene_id=TraesCS1A02G041700;logic_name=iwgsc_high_conf
1A,IWGSC,gene,23130035.0,23134088.0,.,-,.,ID=gene:TraesCS1A02G042500;biotype=protein_coding;gene_id=TraesCS1A02G042500;logic_name=iwgsc_high_conf
1A,IWGSC,gene,23339466.0,23340670.0,.,+,.,ID=gene:TraesCS1A02G042700;biotype=protein_coding;gene_id=TraesCS1A02G042700;logic_name=iwgsc_high_conf
1A,IWGSC,gene,23966033.0,23970147.0,.,-,.,ID=gene:TraesCS1A02G043200;biotype=protein_coding;gene_id=TraesCS1A02G043200;logic_name=iwgsc_high_conf
1A,IWGSC,gene,24132681.0,24140137.0,.,+,.,ID=gene:TraesCS1A02G043400;biotype=protein_coding;gene_id=TraesCS1A02G043400;logic_name=iwgsc_high_conf
1A,IWGSC,gene,24319202.0,24321534.0,.,+,.,ID=gene:TraesCS1A02G043600;biotype=protein_coding;gene_id=TraesCS1A02G043600;logic_name=iwgsc_high_conf
1A,IWGSC,gene,24943572.0,24946478.0,.,-,.,ID=gene:TraesCS1A02G044200;biotype=protein_coding;gene_id=TraesCS1A02G044200;logic_name=iwgsc_high_conf
1A,IWGSC,gene,25539196.0,25545141.0,.,+,.,ID=gene:TraesCS1A02G044500;biotype=protein_coding;gene_id=TraesCS1A02G044500;logic_name=iwgsc_high_conf
1A,IWGSC,gene,25545346.0,25546110.0,.,+,.,ID=gene:TraesCS1A02G044600;biotype=protein_coding;description=7%2C8-dihydroneopterin aldolase [Source:UniProtKB/TrEMBL%3BAcc:A0A1D5S1X8];gene_id=TraesCS1A02G044600;logic_name=iwgsc_high_conf
1A,IWGSC,gene,25701413.0,25709229.0,.,+,.,ID=gene:TraesCS1A02G044800;biotype=protein_coding;gene_id=TraesCS1A02G044800;logic_name=iwgsc_high_conf
1A,IWGSC,gene,26958795.0,26962687.0,.,-,.,ID=gene:TraesCS1A02G045300;biotype=protein_coding;gene_id=TraesCS1A02G045300;logic_name=iwgsc_high_conf
1A,IWGSC,gene,26965566.0,26971307.0,.,-,.,ID=gene:TraesCS1A02G045400;biotype=protein_coding;description=Beta-hexosaminidase [Source:UniProtKB/TrEMBL%3BAcc:W4ZUV9];gene_id=TraesCS1A02G045400;logic_name=iwgsc_high_conf
1A,IWGSC,gene,27249156.0,27253937.0,.,+,.,ID=gene:TraesCS1A02G045700;biotype=protein_coding;gene_id=TraesCS1A02G045700;logic_name=iwgsc_high_conf
1A,IWGSC,gene,27258231.0,27261032.0,.,+,.,ID=gene:TraesCS1A02G045800;biotype=protein_coding;gene_id=TraesCS1A02G045800;logic_name=iwgsc_high_conf
1A,IWGSC,gene,27359181.0,27363332.0,.,+,.,ID=gene:TraesCS1A02G046100;biotype=protein_coding;gene_id=TraesCS1A02G046100;logic_name=iwgsc_high_conf
1A,IWGSC,gene,27752743.0,27757377.0,.,+,.,ID=gene:TraesCS1A02G046300;biotype=protein_coding;description=Nudix hydrolase 9 [Source:Projected from Arabidopsis thaliana (AT3G46200) UniProtKB/Swiss-Prot%3BAcc:Q8VYR2];gene_id=TraesCS1A02G046300;logic_name=iwgsc_high_conf
1A,IWGSC,gene,28360781.0,28364801.0,.,-,.,ID=gene:TraesCS1A02G046400;biotype=protein_coding;gene_id=TraesCS1A02G046400;logic_name=iwgsc_high_conf
1A,IWGSC,gene,28610241.0,28620653.0,.,+,.,ID=gene:TraesCS1A02G046500;biotype=protein_coding;gene_id=TraesCS1A02G046500;logic_name=iwgsc_high_conf
1A,IWGSC,gene,28623296.0,28626864.0,.,+,.,ID=gene:TraesCS1A02G046600;biotype=protein_coding;gene_id=TraesCS1A02G046600;logic_name=iwgsc_high_conf
1A,IWGSC,gene,28708159.0,28710773.0,.,+,.,ID=gene:TraesCS1A02G046800;biotype=protein_coding;gene_id=TraesCS1A02G046800;logic_name=iwgsc_high_conf
