seqid,source,type,start,end,score,strand,phase,attributes
1A,IWGSC,gene,564758787,564761591,.,+,.,ID=gene:TraesCS1A02G401400;biotype=protein_coding;gene_id=TraesCS1A02G401400;logic_name=iwgsc_high_conf
1A,IWGSC,gene,570153572,570155654,.,-,.,ID=gene:TraesCS1A02G407800;biotype=protein_coding;description=Patatin [Source:UniProtKB/TrEMBL%3BAcc:W4ZQZ0];gene_id=TraesCS1A02G407800;logic_name=iwgsc_high_conf
1A,IWGSC,gene,572883079,572883515,.,-,.,ID=gene:TraesCS1A02G412600;biotype=protein_coding;gene_id=TraesCS1A02G412600;logic_name=iwgsc_high_conf
1A,IWGSC,gene,579171915,579173746,.,+,.,ID=gene:TraesCS1A02G424100;biotype=protein_coding;gene_id=TraesCS1A02G424100;logic_name=iwgsc_high_conf
1A,IWGSC,gene,580739950,580743663,.,-,.,ID=gene:TraesCS1A02G426000;biotype=protein_coding;gene_id=TraesCS1A02G426000;logic_name=iwgsc_high_conf
1A,IWGSC,gene,583587305,583587663,.,-,.,ID=gene:TraesCS1A02G431300;biotype=protein_coding;gene_id=TraesCS1A02G431300;logic_name=iwgsc_high_conf
1A,IWGSC,gene,584069722,584072287,.,-,.,ID=gene:TraesCS1A02G432100;biotype=protein_coding;gene_id=TraesCS1A02G432100;logic_name=iwgsc_high_conf
1A,IWGSC,gene,584083815,584086467,.,+,.,ID=gene:TraesCS1A02G432200;biotype=protein_coding;gene_id=TraesCS1A02G432200;logic_name=iwgsc_high_conf
1A,IWGSC,gene,584970458,584972374,.,+,.,ID=gene:TraesCS1A02G434400;biotype=protein_coding;gene_id=TraesCS1A02G434400;logic_name=iwgsc_high_conf
1A,IWGSC,gene,585304256,585304951,.,+,.,ID=gene:TraesCS1A02G434600;biotype=protein_coding;gene_id=TraesCS1A02G434600;logic_name=iwgsc_high_conf
1A,IWGSC,gene,586512310,586512804,.,+,.,ID=gene:TraesCS1A02G436100;biotype=protein_coding;gene_id=TraesCS1A02G436100;logic_name=iwgsc_high_conf
1A,IWGSC,gene,586516495,586519878,.,-,.,ID=gene:TraesCS1A02G436200;biotype=protein_coding;gene_id=TraesCS1A02G436200;logic_name=iwgsc_high_conf
1A,IWGSC,gene,586912538,586916052,.,+,.,ID=gene:TraesCS1A02G436900;biotype=protein_coding;gene_id=TraesCS1A02G436900;logic_name=iwgsc_high_conf
1A,IWGSC,gene,589109732,589111232,.,+,.,ID=gene:TraesCS1A02G439900;biotype=protein_coding;gene_id=TraesCS1A02G439900;logic_name=iwgsc_high_conf
1A,IWGSC,gene,589627586,589634401,.,-,.,ID=gene:TraesCS1A02G440900;biotype=protein_coding;gene_id=TraesCS1A02G440900;logic_name=iwgsc_high_conf
1A,IWGSC,gene,589636559,589639123,.,-,.,ID=gene:TraesCS1A02G441000;biotype=protein_coding;gene_id=TraesCS1A02G441000;logic_name=iwgsc_high_conf
1A,IWGSC,gene,590342119,590348478,.,-,.,ID=gene:TraesCS1A02G441600;biotype=protein_coding;gene_id=TraesCS1A02G441600;logic_name=iwgsc_high_conf
1A,IWGSC,gene,590546517,590553218,.,+,.,ID=gene:TraesCS1A02G441800;biotype=protein_coding;gene_id=TraesCS1A02G441800;logic_name=iwgsc_high_conf
1B,IWGSC,gene,4097642,4099049,.,+,.,ID=gene:TraesCS1B02G007100;biotype=protein_coding;gene_id=TraesCS1B02G007100;logic_name=iwgsc_high_conf
1B,IWGSC,gene,4143562,4146861,.,+,.,ID=gene:TraesCS1B02G007300;biotype=protein_coding;gene_id=TraesCS1B02G007300;logic_name=iwgsc_high_conf
1B,IWGSC,gene,4222340,4225375,.,-,.,ID=gene:TraesCS1B02G007700;biotype=protein_coding;gene_id=TraesCS1B02G007700;logic_name=iwgsc_high_conf
1B,IWGSC,gene,4516817,4520149,.,-,.,ID=gene:TraesCS1B02G008600;biotype=protein_coding;gene_id=TraesCS1B02G008600;logic_name=iwgsc_high_conf
1B,IWGSC,gene,4539577,4543678,.,-,.,ID=gene:TraesCS1B02G008900;biotype=protein_coding;gene_id=TraesCS1B02G008900;logic_name=iwgsc_high_conf
1B,IWGSC,gene,5509787,5510370,.,+,.,ID=gene:TraesCS1B02G011500;biotype=protein_coding;gene_id=TraesCS1B02G011500;logic_name=iwgsc_high_conf
1B,IWGSC,gene,6485068,6487122,.,-,.,ID=gene:TraesCS1B02G014100;biotype=protein_coding;gene_id=TraesCS1B02G014100;logic_name=iwgsc_high_conf
1B,IWGSC,gene,10014740,10016665,.,+,.,ID=gene:TraesCS1B02G022100;biotype=protein_coding;gene_id=TraesCS1B02G022100;logic_name=iwgsc_high_conf
1B,IWGSC,gene,10203991,10206698,.,-,.,ID=gene:TraesCS1B02G022900;biotype=protein_coding;gene_id=TraesCS1B02G022900;logic_name=iwgsc_high_conf
1B,IWGSC,gene,10359349,10368286,.,-,.,ID=gene:TraesCS1B02G023000;biotype=protein_coding;gene_id=TraesCS1B02G023000;logic_name=iwgsc_high_conf
1B,IWGSC,gene,11177447,11182638,.,-,.,ID=gene:TraesCS1B02G023800;biotype=protein_coding;gene_id=TraesCS1B02G023800;logic_name=iwgsc_high_conf
1B,IWGSC,gene,11860454,11863102,.,-,.,ID=gene:TraesCS1B02G024600;biotype=protein_coding;gene_id=TraesCS1B02G024600;logic_name=iwgsc_high_conf
1B,IWGSC,gene,16518247,16523333,.,+,.,ID=gene:TraesCS1B02G034500;biotype=protein_coding;gene_id=TraesCS1B02G034500;logic_name=iwgsc_high_conf
1B,IWGSC,gene,16925435,16931837,.,+,.,ID=gene:TraesCS1B02G035600;biotype=protein_coding;gene_id=TraesCS1B02G035600;logic_name=iwgsc_high_conf
1B,IWGSC,gene,17884038,17886088,.,-,.,ID=gene:TraesCS1B02G038000;biotype=protein_coding;gene_id=TraesCS1B02G038000;logic_name=iwgsc_high_conf
1B,IWGSC,gene,17889740,17892524,.,+,.,ID=gene:TraesCS1B02G038100;biotype=protein_coding;gene_id=TraesCS1B02G038100;logic_name=iwgsc_high_conf
1B,IWGSC,gene,18385559,18387800,.,-,.,ID=gene:TraesCS1B02G038700;biotype=protein_coding;description=Protein NRT1/ PTR FAMILY 6.2 [Source:Projected from Arabidopsis thaliana (AT2G26690) UniProtKB/Swiss-Prot%3BAcc:Q9SZY4];gene_id=TraesCS1B02G038700;logic_name=iwgsc_high_conf
1B,IWGSC,gene,18419377,18423130,.,-,.,ID=gene:TraesCS1B02G038800;biotype=protein_coding;gene_id=TraesCS1B02G038800;logic_name=iwgsc_high_conf
1B,IWGSC,gene,31125242,31125556,.,+,.,ID=gene:TraesCS1B02G051200;biotype=protein_coding;gene_id=TraesCS1B02G051200;logic_name=iwgsc_high_conf
1B,IWGSC,gene,31125652,31127538,.,+,.,ID=gene:TraesCS1B02G051300;biotype=protein_coding;gene_id=TraesCS1B02G051300;logic_name=iwgsc_high_conf
1B,IWGSC,gene,37568904,37572363,.,-,.,ID=gene:TraesCS1B02G055100;biotype=protein_coding;gene_id=TraesCS1B02G055100;logic_name=iwgsc_high_conf
1B,IWGSC,gene,39377535,39385214,.,+,.,ID=gene:TraesCS1B02G056400;biotype=protein_coding;gene_id=TraesCS1B02G056400;logic_name=iwgsc_high_conf
1B,IWGSC,gene,39393328,39397972,.,-,.,ID=gene:TraesCS1B02G056500;biotype=protein_coding;gene_id=TraesCS1B02G056500;logic_name=iwgsc_high_conf
1B,IWGSC,gene,47180510,47182513,.,+,.,ID=gene:TraesCS1B02G062300;biotype=protein_coding;gene_id=TraesCS1B02G062300;logic_name=iwgsc_high_conf
1B,IWGSC,gene,130018645,130021143,.,-,.,ID=gene:TraesCS1B02G112000;biotype=protein_coding;gene_id=TraesCS1B02G112000;logic_name=iwgsc_high_conf
1B,IWGSC,gene,171030154,171045380,.,+,.,ID=gene:TraesCS1B02G134500;biotype=protein_coding;description=DNA-directed RNA polymerase subunit [Source:UniProtKB/TrEMBL%3BAcc:A0A1D5SKY1];gene_id=TraesCS1B02G134500;logic_name=iwgsc_high_conf
1B,IWGSC,gene,240485424,240504891,.,-,.,ID=gene:TraesCS1B02G152000;biotype=protein_coding;gene_id=TraesCS1B02G152000;logic_name=iwgsc_high_conf
1B,IWGSC,gene,385157768,385162726,.,+,.,ID=gene:TraesCS1B02G211600;biotype=protein_coding;gene_id=TraesCS1B02G211600;logic_name=iwgsc_high_conf
1B,IWGSC,gene,405710409,405711985,.,-,.,ID=gene:TraesCS1B02G225900;biotype=protein_coding;gene_id=TraesCS1B02G225900;logic_name=iwgsc_high_conf
1B,IWGSC,gene,438176124,438183399,.,+,.,ID=gene:TraesCS1B02G247700;biotype=protein_coding;gene_id=TraesCS1B02G247700;logic_name=iwgsc_high_conf
1B,IWGSC,gene,447323125,447327142,.,-,.,ID=gene:TraesCS1B02G253700;biotype=protein_coding;description=Protein N-terminal glutamine amidohydrolase [Source:Projected from Arabidopsis thaliana (AT2G41760) UniProtKB/Swiss-Prot%3BAcc:O22944];gene_id=TraesCS1B02G253700;logic_name=iwgsc_high_conf
1B,IWGSC,gene,450027843,450031104,.,+,.,ID=gene:TraesCS1B02G255600;biotype=protein_coding;gene_id=TraesCS1B02G255600;logic_name=iwgsc_high_conf
1B,IWGSC,gene,460578389,460581993,.,-,.,ID=gene:TraesCS1B02G262200;biotype=protein_coding;description=BI1-like protein [Source:Projected from Arabidopsis thaliana (AT4G15470) UniProtKB/Swiss-Prot%3BAcc:Q94A20];gene_id=TraesCS1B02G262200;logic_name=iwgsc_high_conf
1B,IWGSC,gene,461233345,461237264,.,-,.,ID=gene:TraesCS1B02G262300;biotype=protein_coding;gene_id=TraesCS1B02G262300;logic_name=iwgsc_high_conf
1B,IWGSC,gene,465585111,465589319,.,-,.,ID=gene:TraesCS1B02G264800;biotype=protein_coding;gene_id=TraesCS1B02G264800;logic_name=iwgsc_high_conf
1B,IWGSC,gene,478721054,478725344,.,-,.,ID=gene:TraesCS1B02G272900;biotype=protein_coding;gene_id=TraesCS1B02G272900;logic_name=iwgsc_high_conf
1B,IWGSC,gene,487489192,487496862,.,-,.,ID=gene:TraesCS1B02G279200;biotype=protein_coding;gene_id=TraesCS1B02G279200;logic_name=iwgsc_high_conf
1B,IWGSC,gene,515050824,515051485,.,+,.,ID=gene:TraesCS1B02G296400;biotype=protein_coding;gene_id=TraesCS1B02G296400;logic_name=iwgsc_high_conf
1B,IWGSC,gene,543843642,543844013,.,+,.,ID=gene:TraesCS1B02G319800;biotype=protein_coding;gene_id=TraesCS1B02G319800;logic_name=iwgsc_high_conf
1B,IWGSC,gene,546681088,546686600,.,-,.,ID=gene:TraesCS1B02G322200;biotype=protein_coding;gene_id=TraesCS1B02G322200;logic_name=iwgsc_high_conf
1B,IWGSC,gene,551759481,551761446,.,+,.,ID=gene:TraesCS1B02G326200;biotype=protein_coding;gene_id=TraesCS1B02G326200;logic_name=iwgsc_high_conf
1B,IWGSC,gene,561494312,561499985,.,+,.,ID=gene:TraesCS1B02G334100;biotype=protein_coding;gene_id=TraesCS1B02G334100;logic_name=iwgsc_high_conf
1B,IWGSC,gene,564918329,564921103,.,-,.,ID=gene:TraesCS1B02G337500;biotype=protein_coding;gene_id=TraesCS1B02G337500;logic_name=iwgsc_high_conf
1B,IWGSC,gene,569972545,569977599,.,+,.,ID=gene:TraesCS1B02G341700;biotype=protein_coding;description=Poly [ADP-ribose] polymerase [Source:UniProtKB/TrEMBL%3BAcc:W5A3C9];gene_id=TraesCS1B02G341700;logic_name=iwgsc_high_conf
1B,IWGSC,gene,571164481,571171727,.,+,.,ID=gene:TraesCS1B02G342700;biotype=protein_coding;gene_id=TraesCS1B02G342700;logic_name=iwgsc_high_conf
1B,IWGSC,gene,577921359,577931934,.,-,.,ID=gene:TraesCS1B02G348600;biotype=protein_coding;gene_id=TraesCS1B02G348600;logic_name=iwgsc_high_conf
1B,IWGSC,gene,583983134,583986870,.,+,.,ID=gene:TraesCS1B02G354000;biotype=protein_coding;description=BAHD acyltransferase DCR [Source:Projected from Arabidopsis thaliana (AT5G23940) UniProtKB/Swiss-Prot%3BAcc:Q9FF86];gene_id=TraesCS1B02G354000;logic_name=iwgsc_high_conf
1B,IWGSC,gene,608335179,608335695,.,-,.,ID=gene:TraesCS1B02G376600;biotype=protein_coding;description=Histone H4 variant TH011 [Source:UniProtKB/Swiss-Prot%3BAcc:P62785];gene_id=TraesCS1B02G376600;logic_name=iwgsc_high_conf
1B,IWGSC,gene,621584400,621586414,.,-,.,ID=gene:TraesCS1B02G387300;biotype=protein_coding;gene_id=TraesCS1B02G387300;logic_name=iwgsc_high_conf
1B,IWGSC,gene,632751553,632752549,.,+,.,ID=gene:TraesCS1B02G403100;biotype=protein_coding;gene_id=TraesCS1B02G403100;logic_name=iwgsc_high_conf
1B,IWGSC,gene,639561389,639567410,.,+,.,ID=gene:TraesCS1B02G414700;biotype=protein_coding;gene_id=TraesCS1B02G414700;logic_name=iwgsc_high_conf
1B,IWGSC,gene,652632846,652634543,.,+,.,ID=gene:TraesCS1B02G427200;biotype=protein_coding;gene_id=TraesCS1B02G427200;logic_name=iwgsc_high_conf
1B,IWGSC,gene,652638559,652640256,.,+,.,ID=gene:TraesCS1B02G427300;biotype=protein_coding;gene_id=TraesCS1B02G427300;logic_name=iwgsc_high_conf
1B,IWGSC,gene,655766010,655776660,.,-,.,ID=gene:TraesCS1B02G431300;biotype=protein_coding;gene_id=TraesCS1B02G431300;logic_name=iwgsc_high_conf
1B,IWGSC,gene,658711931,658715531,.,-,.,ID=gene:TraesCS1B02G434100;biotype=protein_coding;gene_id=TraesCS1B02G434100;logic_name=iwgsc_high_conf
1B,IWGSC,gene,660100325,660102116,.,-,.,ID=gene:TraesCS1B02G437400;biotype=protein_coding;gene_id=TraesCS1B02G437400;logic_name=iwgsc_high_conf
1B,IWGSC,gene,665273729,665278609,.,+,.,ID=gene:TraesCS1B02G445000;biotype=protein_coding;gene_id=TraesCS1B02G445000;logic_name=iwgsc_high_conf
1B,IWGSC,gene,666535726,666539402,.,-,.,ID=gene:TraesCS1B02G446500;biotype=protein_coding;gene_id=TraesCS1B02G446500;logic_name=iwgsc_high_conf
1B,IWGSC,gene,674079473,674081140,.,-,.,ID=gene:TraesCS1B02G461000;biotype=protein_coding;gene_id=TraesCS1B02G461000;logic_name=iwgsc_high_conf
1B,IWGSC,gene,674641423,674641629,.,-,.,ID=gene:TraesCS1B02G462100;biotype=protein_coding;gene_id=TraesCS1B02G462100;logic_name=iwgsc_high_conf
1B,IWGSC,gene,675545039,675545575,.,-,.,ID=gene:TraesCS1B02G463200;biotype=protein_coding;gene_id=TraesCS1B02G463200;logic_name=iwgsc_high_conf
1B,IWGSC,gene,679652425,679657034,.,-,.,ID=gene:TraesCS1B02G471400;biotype=protein_coding;gene_id=TraesCS1B02G471400;logic_name=iwgsc_high_conf
1B,IWGSC,gene,679705313,679711645,.,-,.,ID=gene:TraesCS1B02G471700;biotype=protein_coding;gene_id=TraesCS1B02G471700;logic_name=iwgsc_high_conf
1D,IWGSC,gene,548169,554637,.,-,.,ID=gene:TraesCS1D02G002300;biotype=protein_coding;gene_id=TraesCS1D02G002300;logic_name=iwgsc_high_conf
1D,IWGSC,gene,3954518,3958741,.,+,.,ID=gene:TraesCS1D02G007700;biotype=protein_coding;gene_id=TraesCS1D02G007700;logic_name=iwgsc_high_conf
1D,IWGSC,gene,7896854,7899155,.,-,.,ID=gene:TraesCS1D02G017900;biotype=protein_coding;gene_id=TraesCS1D02G017900;logic_name=iwgsc_high_conf
1D,IWGSC,gene,10736974,10738674,.,+,.,ID=gene:TraesCS1D02G026400;biotype=protein_coding;gene_id=TraesCS1D02G026400;logic_name=iwgsc_high_conf
1D,IWGSC,gene,11408761,11415088,.,+,.,ID=gene:TraesCS1D02G029000;biotype=protein_coding;description=Pi-ta protein belonging to the nucleotide-binding site leucine-rich repeat (NBS-LRR) class%2C Rice blast resistance (Nipponbare: susceptible [Source: Projected from Oryza sativa (Os12g0281300)];gene_id=TraesCS1D02G029000;logic_name=iwgsc_high_conf
1D,IWGSC,gene,11451423,11459353,.,+,.,ID=gene:TraesCS1D02G029100;biotype=protein_coding;description=RGA1e-like protein [Source:UniProtKB/TrEMBL%3BAcc:S5DMA6];gene_id=TraesCS1D02G029100;logic_name=iwgsc_high_conf
1D,IWGSC,gene,11493627,11499140,.,+,.,ID=gene:TraesCS1D02G029200;biotype=protein_coding;gene_id=TraesCS1D02G029200;logic_name=iwgsc_high_conf
1D,IWGSC,gene,11616634,11624592,.,+,.,ID=gene:TraesCS1D02G029500;biotype=protein_coding;gene_id=TraesCS1D02G029500;logic_name=iwgsc_high_conf
1D,IWGSC,gene,18159132,18163387,.,+,.,ID=gene:TraesCS1D02G038000;biotype=protein_coding;gene_id=TraesCS1D02G038000;logic_name=iwgsc_high_conf
1D,IWGSC,gene,32530086,32531118,.,-,.,ID=gene:TraesCS1D02G051800;biotype=protein_coding;gene_id=TraesCS1D02G051800;logic_name=iwgsc_high_conf
1D,IWGSC,gene,32737866,32740293,.,+,.,ID=gene:TraesCS1D02G052000;biotype=protein_coding;gene_id=TraesCS1D02G052000;logic_name=iwgsc_high_conf
1D,IWGSC,gene,34944703,34946404,.,-,.,ID=gene:TraesCS1D02G053800;biotype=protein_coding;description=Bacterial-type ATP binding cassette (ABC) transporter%2C Al toleranc [Source: Projected from Oryza sativa (Os05g0119000)];gene_id=TraesCS1D02G053800;logic_name=iwgsc_high_conf
1D,IWGSC,gene,44648152,44651988,.,-,.,ID=gene:TraesCS1D02G064200;biotype=protein_coding;gene_id=TraesCS1D02G064200;logic_name=iwgsc_high_conf
1D,IWGSC,gene,46631910,46635411,.,-,.,ID=gene:TraesCS1D02G065300;biotype=protein_coding;gene_id=TraesCS1D02G065300;logic_name=iwgsc_high_conf
1D,IWGSC,gene,70119852,70120894,.,+,.,ID=gene:TraesCS1D02G085800;biotype=protein_coding;gene_id=TraesCS1D02G085800;logic_name=iwgsc_high_conf
1D,IWGSC,gene,81366947,81368826,.,+,.,ID=gene:TraesCS1D02G096200;biotype=protein_coding;description=Peroxidase [Source:UniProtKB/TrEMBL%3BAcc:W5AKM7];gene_id=TraesCS1D02G096200;logic_name=iwgsc_high_conf
1D,IWGSC,gene,114161191,114161686,.,+,.,ID=gene:TraesCS1D02G118400;biotype=protein_coding;gene_id=TraesCS1D02G118400;logic_name=iwgsc_high_conf
1D,IWGSC,gene,166822476,166847564,.,-,.,ID=gene:TraesCS1D02G134200;biotype=protein_coding;description=Histone acetyltransferase GCN5 [Source:Projected from Arabidopsis thaliana (AT3G54610) UniProtKB/Swiss-Prot%3BAcc:Q9AR19];gene_id=TraesCS1D02G134200;logic_name=iwgsc_high_conf
1D,IWGSC,gene,188456235,188460700,.,-,.,ID=gene:TraesCS1D02G137900;biotype=protein_coding;gene_id=TraesCS1D02G137900;logic_name=iwgsc_high_conf
1D,IWGSC,gene,220878357,220884395,.,-,.,ID=gene:TraesCS1D02G156600;biotype=protein_coding;gene_id=TraesCS1D02G156600;logic_name=iwgsc_high_conf
1D,IWGSC,gene,248927211,248931303,.,-,.,ID=gene:TraesCS1D02G174600;biotype=protein_coding;gene_id=TraesCS1D02G174600;logic_name=iwgsc_high_conf
1D,IWGSC,gene,271837356,271837817,.,-,.,ID=gene:TraesCS1D02G194600;biotype=protein_coding;gene_id=TraesCS1D02G194600;logic_name=iwgsc_high_conf
1D,IWGSC,gene,286387215,286389551,.,+,.,ID=gene:TraesCS1D02G202900;biotype=protein_coding;gene_id=TraesCS1D02G202900;logic_name=iwgsc_high_conf
1D,IWGSC,gene,300707409,300709038,.,-,.,ID=gene:TraesCS1D02G215300;biotype=protein_coding;gene_id=TraesCS1D02G215300;logic_name=iwgsc_high_conf
1D,IWGSC,gene,342161110,342162756,.,+,.,ID=gene:TraesCS1D02G249400;biotype=protein_coding;gene_id=TraesCS1D02G249400;logic_name=iwgsc_high_conf
1D,IWGSC,gene,355469718,355474464,.,-,.,ID=gene:TraesCS1D02G261400;biotype=protein_coding;description=MLO-like protein [Source:UniProtKB/TrEMBL%3BAcc:A0A1D6RFE5];gene_id=TraesCS1D02G261400;logic_name=iwgsc_high_conf
1D,IWGSC,gene,384846538,384847143,.,-,.,ID=gene:TraesCS1D02G286700;biotype=protein_coding;description=Histone H4 [Source:UniProtKB/TrEMBL%3BAcc:A0A077RYQ1];gene_id=TraesCS1D02G286700;logic_name=iwgsc_high_conf
1D,IWGSC,gene,437848604,437860415,.,-,.,ID=gene:TraesCS1D02G352500;biotype=protein_coding;gene_id=TraesCS1D02G352500;logic_name=iwgsc_high_conf
1D,IWGSC,gene,456060131,456064542,.,+,.,ID=gene:TraesCS1D02G380700;biotype=protein_coding;gene_id=TraesCS1D02G380700;logic_name=iwgsc_high_conf
1D,IWGSC,gene,468467409,468479531,.,-,.,ID=gene:TraesCS1D02G403700;biotype=protein_coding;gene_id=TraesCS1D02G403700;logic_name=iwgsc_high_conf
1D,IWGSC,gene,474902846,474904659,.,-,.,ID=gene:TraesCS1D02G415800;biotype=protein_coding;gene_id=TraesCS1D02G415800;logic_name=iwgsc_high_conf
1D,IWGSC,gene,479591556,479595146,.,-,.,ID=gene:TraesCS1D02G426400;biotype=protein_coding;gene_id=TraesCS1D02G426400;logic_name=iwgsc_high_conf
2A,IWGSC,gene,1776596,1778573,.,+,.,ID=gene:TraesCS2A02G002800;biotype=protein_coding;gene_id=TraesCS2A02G002800;logic_name=iwgsc_high_conf
2A,IWGSC,gene,1871479,1877682,.,+,.,ID=gene:TraesCS2A02G003100;biotype=protein_coding;gene_id=TraesCS2A02G003100;logic_name=iwgsc_high_conf
2A,IWGSC,gene,2880736,2885432,.,+,.,ID=gene:TraesCS2A02G006500;biotype=protein_coding;gene_id=TraesCS2A02G006500;logic_name=iwgsc_high_conf
2A,IWGSC,gene,5646829,5647377,.,-,.,ID=gene:TraesCS2A02G013800;biotype=protein_coding;gene_id=TraesCS2A02G013800;logic_name=iwgsc_high_conf
2A,IWGSC,gene,8141118,8143112,.,-,.,ID=gene:TraesCS2A02G017300;biotype=protein_coding;gene_id=TraesCS2A02G017300;logic_name=iwgsc_high_conf
2A,IWGSC,gene,11372823,11380596,.,-,.,ID=gene:TraesCS2A02G023400;biotype=protein_coding;gene_id=TraesCS2A02G023400;logic_name=iwgsc_high_conf
2A,IWGSC,gene,11543904,11550148,.,+,.,ID=gene:TraesCS2A02G023500;biotype=protein_coding;gene_id=TraesCS2A02G023500;logic_name=iwgsc_high_conf
2A,IWGSC,gene,13115653,13116909,.,+,.,ID=gene:TraesCS2A02G029400;biotype=protein_coding;description=Exocyst subunit Exo70 family protein [Source:UniProtKB/TrEMBL%3BAcc:A0A341PVJ5];gene_id=TraesCS2A02G029400;logic_name=iwgsc_high_conf
2A,IWGSC,gene,13128490,13132838,.,+,.,ID=gene:TraesCS2A02G029500;biotype=protein_coding;gene_id=TraesCS2A02G029500;logic_name=iwgsc_high_conf
2A,IWGSC,gene,13134946,13136883,.,-,.,ID=gene:TraesCS2A02G029600;biotype=protein_coding;gene_id=TraesCS2A02G029600;logic_name=iwgsc_high_conf
2A,IWGSC,gene,16522564,16529804,.,-,.,ID=gene:TraesCS2A02G040000;biotype=protein_coding;gene_id=TraesCS2A02G040000;logic_name=iwgsc_high_conf
2A,IWGSC,gene,16871956,16876564,.,-,.,ID=gene:TraesCS2A02G042000;biotype=protein_coding;gene_id=TraesCS2A02G042000;logic_name=iwgsc_high_conf
2A,IWGSC,gene,17857166,17858293,.,+,.,ID=gene:TraesCS2A02G045400;biotype=protein_coding;gene_id=TraesCS2A02G045400;logic_name=iwgsc_high_conf
2A,IWGSC,gene,19100268,19106306,.,-,.,ID=gene:TraesCS2A02G049700;biotype=protein_coding;gene_id=TraesCS2A02G049700;logic_name=iwgsc_high_conf
